GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US54525,54525,ZCTA5 54525,242,87,242,87,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
8600000US54526,54526,ZCTA5 54526,852,110,840,109,7,11,0,9,0,9,0,9,5,5,0,9,0,9,0,9
8600000US54527,54527,ZCTA5 54527,962,102,944,99,0,9,16,15,2,3,0,9,0,9,0,9,0,9,0,9
8600000US54529,54529,ZCTA5 54529,1167,108,1162,107,0,9,5,7,0,9,0,9,0,9,0,9,0,9,0,9
8600000US54530,54530,ZCTA5 54530,826,114,750,105,27,26,18,24,0,9,1,3,5,6,25,19,0,9,25,19
8600000US54531,54531,ZCTA5 54531,1410,156,1383,154,0,9,13,13,0,9,0,9,0,9,14,20,0,9,14,20
8600000US54534,54534,ZCTA5 54534,2205,165,2123,157,32,29,14,10,2,5,0,9,12,16,22,15,4,5,18,14
8600000US54536,54536,ZCTA5 54536,191,45,183,44,0,9,0,9,0,9,0,9,0,9,8,11,0,9,8,11
8600000US54537,54537,ZCTA5 54537,506,62,478,56,1,3,1,2,0,9,0,9,13,18,13,12,0,9,13,12
8600000US54538,54538,ZCTA5 54538,3047,130,1135,168,8,10,1696,208,86,11,10,15,17,18,95,76,0,9,95,76
8600000US54539,54539,ZCTA5 54539,1235,157,1171,151,46,32,6,9,2,4,0,9,0,9,10,9,0,9,10,9
8600000US54540,54540,ZCTA5 54540,876,165,848,160,0,11,5,8,0,11,0,11,0,11,23,24,0,11,23,24
8600000US54541,54541,ZCTA5 54541,1222,184,1062,131,50,98,71,37,18,12,6,8,0,9,15,16,0,9,15,16
8600000US54542,54542,ZCTA5 54542,391,89,376,86,12,16,0,9,0,9,0,9,0,9,3,4,0,9,3,4
8600000US54545,54545,ZCTA5 54545,889,117,878,118,0,9,11,12,0,9,0,9,0,9,0,9,0,9,0,9
8600000US54546,54546,ZCTA5 54546,1250,112,1161,102,16,17,43,34,0,9,0,9,13,17,17,13,0,9,17,13
8600000US54547,54547,ZCTA5 54547,1491,139,1442,133,4,5,0,9,3,9,0,9,4,5,38,32,0,9,38,32
8600000US54548,54548,ZCTA5 54548,4792,203,4496,225,38,55,136,80,80,75,0,9,10,15,32,33,0,9,32,33
8600000US54550,54550,ZCTA5 54550,640,80,620,78,0,9,20,26,0,9,0,9,0,9,0,9,0,9,0,9
8600000US54552,54552,ZCTA5 54552,4081,219,3963,214,0,9,10,13,35,17,40,56,7,9,26,16,0,9,26,16
8600000US54554,54554,ZCTA5 54554,1007,119,933,116,0,11,20,16,6,8,0,11,0,11,48,30,0,11,48,30
8600000US54555,54555,ZCTA5 54555,4762,234,4568,221,30,58,82,21,42,26,0,9,3,5,37,28,1,3,36,28
8600000US54556,54556,ZCTA5 54556,1208,101,1116,98,63,52,2,13,1,2,0,9,10,16,16,13,0,9,16,13
8600000US54557,54557,ZCTA5 54557,921,122,917,121,0,9,4,5,0,9,0,9,0,9,0,9,0,9,0,9
8600000US54558,54558,ZCTA5 54558,2010,291,1960,278,29,40,6,12,8,9,0,9,0,9,7,11,0,9,7,11
8600000US54559,54559,ZCTA5 54559,828,112,515,83,0,9,280,64,4,3,0,9,0,9,29,34,0,9,29,34
8600000US54560,54560,ZCTA5 54560,568,131,564,131,0,9,3,4,0,9,0,9,0,9,1,2,0,9,1,2
8600000US54561,54561,ZCTA5 54561,6,9,6,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
8600000US54562,54562,ZCTA5 54562,1755,149,1743,150,0,9,0,9,12,13,0,9,0,9,0,9,0,9,0,9
8600000US54563,54563,ZCTA5 54563,738,94,734,94,4,6,0,9,0,9,0,9,0,9,0,9,0,9,0,9
8600000US54564,54564,ZCTA5 54564,403,69,392,66,0,9,0,9,0,9,0,9,0,9,11,12,0,9,11,12
8600000US54565,54565,ZCTA5 54565,62,27,62,27,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
8600000US54566,54566,ZCTA5 54566,1309,121,1026,113,4,5,252,65,0,9,1,3,0,9,26,15,0,9,26,15
8600000US54568,54568,ZCTA5 54568,4938,222,4499,359,7,10,40,42,0,9,0,9,41,53,351,269,0,9,351,269
8600000US54601,54601,ZCTA5 54601,50529,594,46763,629,932,252,137,90,1489,382,0,20,261,110,947,207,56,46,891,205
8600000US54603,54603,ZCTA5 54603,14304,541,12134,557,90,89,113,106,1105,378,1,2,553,341,308,136,0,14,308,136
8600000US54610,54610,ZCTA5 54610,1555,113,1516,108,13,11,2,3,0,9,0,9,0,9,24,20,2,3,22,20
8600000US54611,54611,ZCTA5 54611,1233,141,1161,136,4,6,2,3,2,3,0,9,32,21,32,22,10,14,22,16
8600000US54612,54612,ZCTA5 54612,5179,254,4179,280,22,17,0,12,22,23,0,12,956,179,0,12,0,12,0,12
8600000US54613,54613,ZCTA5 54613,1697,170,1633,158,0,9,16,19,0,9,0,9,4,5,44,47,6,7,38,45
8600000US54614,54614,ZCTA5 54614,2748,219,2710,215,5,6,18,16,5,9,0,9,0,9,10,8,0,9,10,8
8600000US54615,54615,ZCTA5 54615,10767,215,8857,220,428,71,1075,86,56,17,0,14,37,28,314,95,8,10,306,95
8600000US54616,54616,ZCTA5 54616,2564,202,2486,211,7,10,0,9,8,8,0,9,63,72,0,9,0,9,0,9
8600000US54618,54618,ZCTA5 54618,2209,181,2096,163,31,29,29,23,22,18,0,9,1,3,30,18,0,9,30,18
8600000US54619,54619,ZCTA5 54619,3850,385,3677,359,23,25,0,9,0,9,0,9,136,115,14,12,0,9,14,12
8600000US54621,54621,ZCTA5 54621,1353,150,1328,153,0,9,0,9,5,8,0,9,4,5,16,17,0,9,16,17
8600000US54622,54622,ZCTA5 54622,2047,121,2005,122,13,12,0,9,2,5,0,9,22,18,5,6,0,9,5,6
8600000US54623,54623,ZCTA5 54623,2042,156,2024,158,1,5,5,7,2,4,0,9,7,14,3,4,0,9,3,4
8600000US54624,54624,ZCTA5 54624,1466,126,1432,123,6,7,6,7,0,9,0,9,11,10,11,12,0,9,11,12
8600000US54625,54625,ZCTA5 54625,258,36,256,36,0,9,0,9,2,3,0,9,0,9,0,9,0,9,0,9
8600000US54626,54626,ZCTA5 54626,1388,127,1326,117,4,6,0,9,12,11,0,9,0,9,46,30,6,9,40,28
8600000US54627,54627,ZCTA5 54627,1756,177,1733,173,0,9,0,9,0,9,0,9,10,15,13,11,0,9,13,11
8600000US54628,54628,ZCTA5 54628,966,87,939,84,0,9,9,12,8,9,0,9,5,6,5,7,0,9,5,7
8600000US54629,54629,ZCTA5 54629,2595,140,2558,129,14,10,8,13,0,9,0,9,3,4,12,18,0,9,12,18
8600000US54630,54630,ZCTA5 54630,3975,209,3873,208,8,13,16,21,37,30,0,9,0,9,41,29,0,9,41,29
8600000US54631,54631,ZCTA5 54631,1695,155,1616,149,16,29,3,4,5,7,0,9,0,9,55,41,0,9,55,41
8600000US54632,54632,ZCTA5 54632,1101,120,1059,120,11,16,0,9,0,9,0,9,0,9,31,22,5,5,26,22
8600000US54634,54634,ZCTA5 54634,4536,237,4404,236,10,13,20,24,9,10,0,9,35,26,58,30,27,23,31,16
8600000US54635,54635,ZCTA5 54635,1767,127,1661,117,20,37,29,26,1,2,0,9,41,37,15,13,0,9,15,13
8600000US54636,54636,ZCTA5 54636,14995,364,13819,399,174,149,33,34,831,294,0,14,22,25,116,85,0,14,116,85
8600000US54637,54637,ZCTA5 54637,182,28,164,26,0,9,0,9,2,3,0,9,0,9,16,11,0,9,16,11
8600000US54638,54638,ZCTA5 54638,1420,141,1395,143,4,7,2,3,4,5,0,9,0,9,15,15,0,9,15,15
8600000US54639,54639,ZCTA5 54639,2619,288,2519,269,22,22,14,20,5,5,0,9,3,4,56,34,5,5,51,33
8600000US54641,54641,ZCTA5 54641,3,4,3,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
8600000US54642,54642,ZCTA5 54642,2063,169,2008,168,1,3,6,7,10,9,0,9,10,10,28,22,8,11,20,17
8600000US54643,54643,ZCTA5 54643,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
8600000US54644,54644,ZCTA5 54644,1586,168,1536,164,0,9,0,9,50,76,0,9,0,9,0,9,0,9,0,9
8600000US54645,54645,ZCTA5 54645,56,28,56,28,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
8600000US54646,54646,ZCTA5 54646,4231,514,4156,509,31,38,5,5,23,27,0,9,0,9,16,12,0,9,16,12
8600000US54648,54648,ZCTA5 54648,1620,154,1408,145,0,9,7,11,8,9,0,9,184,100,13,12,6,9,7,7
8600000US54650,54650,ZCTA5 54650,23656,322,20712,522,334,146,54,40,1669,387,26,42,100,92,761,249,49,73,712,245
8600000US54651,54651,ZCTA5 54651,1407,155,1256,132,28,27,5,6,6,8,0,9,92,65,20,26,0,9,20,26
8600000US54652,54652,ZCTA5 54652,941,120,926,118,1,2,0,9,2,3,0,9,0,9,12,9,0,9,12,9
8600000US54653,54653,ZCTA5 54653,902,166,876,166,7,10,0,9,14,15,2,2,0,9,3,4,0,9,3,4
8600000US54654,54654,ZCTA5 54654,83,27,83,27,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
8600000US54655,54655,ZCTA5 54655,1796,157,1775,156,0,9,4,5,13,14,0,9,0,9,4,5,0,9,4,5
8600000US54656,54656,ZCTA5 54656,17522,264,16484,334,246,114,31,22,217,88,4,9,181,112,359,127,58,51,301,100
8600000US54657,54657,ZCTA5 54657,366,49,362,49,2,6,2,3,0,9,0,9,0,9,0,9,0,9,0,9
8600000US54658,54658,ZCTA5 54658,2448,161,2380,156,0,9,42,31,3,4,0,9,0,9,23,19,8,8,15,13
8600000US54659,54659,ZCTA5 54659,1370,175,1310,165,0,9,4,6,0,9,0,9,0,9,56,37,6,7,50,35
8600000US54660,54660,ZCTA5 54660,16240,312,14973,366,379,141,348,80,114,53,3,7,148,119,275,106,40,49,235,96
8600000US54661,54661,ZCTA5 54661,3658,176,3564,174,11,15,0,9,19,19,0,9,0,9,64,36,0,9,64,36
8600000US54664,54664,ZCTA5 54664,1650,175,1583,166,3,6,4,5,1,4,0,9,40,41,19,13,2,3,17,12
8600000US54665,54665,ZCTA5 54665,8119,241,7910,254,50,38,13,13,86,70,0,12,14,16,46,37,0,12,46,37
8600000US54666,54666,ZCTA5 54666,2671,188,2511,184,20,18,66,34,13,12,0,9,21,19,40,20,11,10,29,18
8600000US54667,54667,ZCTA5 54667,4883,363,4738,372,27,16,0,9,35,34,0,9,0,9,83,51,14,12,69,55
8600000US54669,54669,ZCTA5 54669,7829,94,7608,158,36,35,0,12,33,44,0,12,25,25,127,101,0,12,127,101
8600000US54670,54670,ZCTA5 54670,1946,251,1844,259,3,4,3,4,3,4,1,3,59,69,33,43,23,35,10,11
8600000US54701,54701,ZCTA5 54701,40306,842,36908,846,343,114,170,115,1828,371,18,30,58,51,981,320,96,132,885,265
8600000US54703,54703,ZCTA5 54703,43316,825,39547,868,458,144,214,150,1784,304,392,315,63,46,858,303,98,70,760,286
8600000US54720,54720,ZCTA5 54720,7531,72,7169,235,48,43,0,12,203,176,0,12,18,29,93,87,0,12,93,87
