GEO.id2,HD01_VD17,HD01_VD18,HD01_VD41,HD01_VD42
Id2,Male Public,Male Private,Female Public,Female Private
53923,43,2,41,5
53924,27,0,18,0
53925,162,11,297,22
53926,46,1,22,2
53928,6,0,3,0
53929,45,4,61,6
53930,37,11,36,12
53931,3,0,10,0
53932,99,3,78,3
53933,101,5,82,9
53934,117,0,108,0
53935,12,0,7,1
53936,18,5,44,0
53937,25,7,21,2
53939,6,0,2,1
53941,86,3,63,4
53943,15,0,36,0
53944,70,0,25,0
53946,98,15,115,4
53947,0,0,0,0
53948,150,20,205,10
53949,112,21,89,8
53950,128,53,114,0
53951,86,3,55,2
53952,86,0,49,6
53953,12,0,0,0
53954,153,8,164,8
53955,111,0,97,4
53956,63,24,77,24
53959,343,10,452,22
53960,60,2,91,7
53961,20,0,13,0
53963,271,49,378,11
53964,76,0,83,3
53965,164,6,179,29
53968,54,0,38,0
53969,6,0,0,0
54001,204,5,217,4
54002,132,3,211,5
54003,49,0,17,0
54004,38,6,51,2
54005,87,3,79,1
54006,5,0,15,0
54007,36,0,23,0
54009,67,10,85,11
54010,0,0,0,0
54011,210,2,181,15
54013,145,0,103,5
54014,54,0,52,0
54015,67,10,122,0
54016,627,138,986,48
54017,616,78,503,22
54020,235,12,252,13
54021,167,7,185,2
54022,426,29,362,5
54023,109,4,115,3
54024,111,8,95,13
54025,213,33,243,37
54026,100,16,73,0
54027,31,1,20,0
54028,42,3,77,6
54082,59,19,19,0
54101,54,3,63,0
54102,7,0,16,0
54103,4,0,2,0
54104,16,2,24,2
54106,209,14,177,0
54107,112,3,95,2
54110,164,2,218,2
54111,68,0,47,0
54112,33,2,42,4
54113,42,0,176,0
54114,155,3,90,35
54115,1374,151,989,32
54119,15,2,5,0
54120,8,0,2,0
54121,120,0,46,1
54123,11,0,5,0
54124,76,2,47,0
54125,8,0,0,0
54126,124,10,95,6
54127,12,0,0,0
54128,32,0,38,3
