zip code,Total,White,Black/African American,Asian,whiteRatio,balckRatio,asianRatio
54175,935,923,0,0,0.987165775,0,0
54177,2919,2860,3,4,0.979787598,0.001027749,0.001370332
54180,3406,3157,45,44,0.926893717,0.013211979,0.012918379
54201,5200,5043,53,20,0.969807692,0.010192308,0.003846154
54202,1281,1236,4,0,0.964871194,0.00312256,0
54204,1653,1616,3,1,0.977616455,0.001814882,0.000604961
54205,2020,1963,2,2,0.971782178,0.000990099,0.000990099
54207,169,167,0,0,0.98816568,0,0
54208,6224,6027,19,17,0.968348329,0.003052699,0.002731362
54209,1310,1260,4,1,0.961832061,0.003053435,0.000763359
54210,892,824,0,14,0.923766816,0,0.015695067
54211,280,279,0,0,0.996428571,0,0
54212,1127,1094,3,0,0.970718722,0.002661934,0
54213,1308,1284,0,0,0.981651376,0,0
54214,240,240,0,0,1,0,0
54216,6311,6109,7,43,0.967992394,0.001109174,0.0068135
54217,7279,7030,31,16,0.965792004,0.004258827,0.002198104
54220,39215,35867,405,1956,0.914624506,0.010327681,0.049878873
54227,1559,1531,0,7,0.982039769,0,0.004490058
54228,2712,2687,4,4,0.990781711,0.001474926,0.001474926
54229,4627,4498,37,44,0.972120164,0.007996542,0.009509401
54230,4516,4440,0,10,0.983170948,0,0.002214349
54232,846,822,0,0,0.971631206,0,0
54234,1563,1552,0,11,0.992962252,0,0.007037748
54235,16606,15967,173,109,0.961519933,0.010417921,0.006563893
54241,14413,13856,100,93,0.961354333,0.006938181,0.006452508
54245,2178,2142,3,4,0.983471074,0.00137741,0.001836547
54246,838,822,4,7,0.980906921,0.00477327,0.008353222
54247,2154,2104,0,3,0.976787372,0,0.001392758
54301,22169,19028,587,312,0.858315666,0.026478416,0.014073707
54302,31564,21954,1061,1516,0.695539222,0.033614244,0.048029401
54303,27990,21095,1501,1383,0.753662022,0.053626295,0.049410504
54304,27256,22808,797,988,0.836806575,0.029241268,0.036248899
54307,1081,412,550,20,0.381128585,0.508788159,0.018501388
54311,35007,30597,633,1339,0.874025195,0.018082098,0.038249493
54313,37709,34880,152,637,0.924978122,0.004030868,0.016892519
54401,30703,26314,356,2872,0.8570498,0.011594958,0.093541348
54403,25061,21725,247,2346,0.866884801,0.009855951,0.093611588
54405,2931,2703,4,3,0.92221085,0.001364722,0.001023541
54406,3367,3283,17,13,0.975051975,0.005049005,0.003861004
54407,1564,1544,12,2,0.987212276,0.007672634,0.001278772
54408,1028,989,1,1,0.962062257,0.000972763,0.000972763
54409,12791,12175,168,26,0.951841138,0.013134235,0.002032679
54410,2467,2423,5,3,0.982164572,0.002026753,0.001216052
54411,5475,5414,0,0,0.988858447,0,0
54412,2017,1933,5,0,0.958353991,0.002478929,0
54413,133,128,0,2,0.962406015,0,0.015037594
54414,3285,3213,1,0,0.978082192,0.000304414,0
54416,1820,1018,5,0,0.559340659,0.002747253,0
54417,35,35,0,0,1,0,0
54418,953,939,2,4,0.985309549,0.002098636,0.004197272
54420,1291,1236,10,5,0.957397366,0.007745933,0.003872967
54421,3460,3187,63,13,0.921098266,0.018208092,0.003757225
54422,1310,1245,0,5,0.950381679,0,0.003816794
54423,2293,2246,0,38,0.979502835,0,0.016572176
54424,1685,1597,0,15,0.947774481,0,0.008902077
54425,2118,2109,0,0,0.995750708,0,0
54426,4547,4487,0,11,0.986804486,0,0.002419177
54427,1129,1099,4,2,0.973427812,0.003542958,0.001771479
54428,926,900,0,0,0.971922246,0,0
54430,132,130,0,0,0.984848485,0,0
54433,1837,1811,2,0,0.985846489,0.001088732,0
54435,2179,2102,14,24,0.964662689,0.006424966,0.011014227
54436,2203,2097,52,26,0.951883795,0.023604176,0.011802088
54437,3152,3098,0,0,0.98286802,0,0
54440,2947,2893,3,26,0.981676281,0.001017984,0.008822531
54441,896,882,0,1,0.984375,0,0.001116071
54442,1081,941,75,7,0.870490287,0.069380204,0.006475486
54443,2246,2171,12,27,0.966607302,0.005342832,0.012021371
54446,3233,3172,7,0,0.981132075,0.002165172,0
54447,451,449,0,0,0.99556541,0,0
54448,4232,4118,1,51,0.973062382,0.000236295,0.01205104
54449,26001,24657,82,799,0.94830968,0.003153725,0.030729587
54450,448,441,0,0,0.984375,0,0
54451,11546,11314,61,22,0.979906461,0.005283215,0.001905422
54452,18695,18218,56,64,0.974485156,0.002995453,0.003423375
54454,1403,1384,3,0,0.986457591,0.002138275,0
54455,17700,17007,49,351,0.960847458,0.002768362,0.019830508
54456,5909,5703,58,59,0.965137925,0.009815536,0.009984769
54457,8242,7783,58,24,0.944309634,0.007037127,0.002911915
54458,97,92,0,0,0.948453608,0,0
54459,1167,1137,2,1,0.974293059,0.001713796,0.000856898
54460,2598,2478,7,4,0.953810624,0.00269438,0.001539646
54462,323,322,0,0,0.996904025,0,0
