"ZIP","COUNTYNAME"
54931,"Outagamie County"
54180,"Outagamie County"
54912,"Outagamie County"
54961,"Outagamie County"
54942,"Outagamie County"
54913,"Outagamie County"
54152,"Outagamie County"
54113,"Outagamie County"
54136,"Outagamie County"
54170,"Outagamie County"
54911,"Outagamie County"
54929,"Outagamie County"
53004,"Ozaukee County"
53080,"Ozaukee County"
53013,"Ozaukee County"
53090,"Ozaukee County"
53097,"Ozaukee County"
53012,"Ozaukee County"
53217,"Ozaukee County"
53074,"Ozaukee County"
53022,"Ozaukee County"
53092,"Ozaukee County"
53021,"Ozaukee County"
53075,"Ozaukee County"
53095,"Ozaukee County"
53024,"Ozaukee County"
54736,"Pepin County"
54721,"Pepin County"
54759,"Pepin County"
54755,"Pepin County"
54737,"Pepin County"
54769,"Pepin County"
54761,"Pepin County"
54761,"Pierce County"
54002,"Pierce County"
54011,"Pierce County"
54014,"Pierce County"
54767,"Pierce County"
54723,"Pierce County"
54003,"Pierce County"
54005,"Pierce County"
54740,"Pierce County"
54750,"Pierce County"
54769,"Pierce County"
54721,"Pierce County"
54022,"Pierce County"
54021,"Pierce County"
54006,"Polk County"
54026,"Polk County"
54872,"Polk County"
54840,"Polk County"
54024,"Polk County"
54007,"Polk County"
54829,"Polk County"
54858,"Polk County"
54889,"Polk County"
54826,"Polk County"
54810,"Polk County"
54020,"Polk County"
54837,"Polk County"
54824,"Polk County"
54001,"Polk County"
54009,"Polk County"
54853,"Polk County"
54005,"Polk County"
54004,"Polk County"
54017,"Polk County"
54981,"Portage County"
54455,"Portage County"
54473,"Portage County"
54475,"Portage County"
54494,"Portage County"
54467,"Portage County"
54443,"Portage County"
54492,"Portage County"
54423,"Portage County"
54945,"Portage County"
54481,"Portage County"
54482,"Portage County"
54407,"Portage County"
54406,"Portage County"
54977,"Portage County"
54458,"Portage County"
54909,"Portage County"
54921,"Portage County"
54984,"Portage County"
54966,"Portage County"
54454,"Portage County"
54555,"Price County"
54514,"Price County"
54524,"Price County"
54530,"Price County"
54470,"Price County"
54515,"Price County"
54490,"Price County"
54564,"Price County"
54556,"Price County"
54537,"Price County"
54459,"Price County"
54513,"Price County"
54552,"Price County"
54538,"Price County"
53402,"Racine County"
53401,"Racine County"
53404,"Racine County"
53403,"Racine County"
53182,"Racine County"
53139,"Racine County"
53138,"Racine County"
53185,"Racine County"
53405,"Racine County"
53406,"Racine County"
53105,"Racine County"
53126,"Racine County"
53408,"Racine County"
53177,"Racine County"
53108,"Racine County"
53120,"Racine County"
53150,"Racine County"
53167,"Racine County"
53149,"Racine County"
53573,"Richland County"
53556,"Richland County"
54664,"Richland County"
53540,"Richland County"
53924,"Richland County"
53584,"Richland County"
53588,"Richland County"
54634,"Richland County"
54655,"Richland County"
53968,"Richland County"
53518,"Richland County"
53581,"Richland County"
53941,"Richland County"
54639,"Richland County"
53937,"Richland County"
53545,"Rock County"
53521,"Rock County"
53589,"Rock County"
53576,"Rock County"
53501,"Rock County"
53534,"Rock County"
53520,"Rock County"
53563,"Rock County"
53547,"Rock County"
53190,"Rock County"
53505,"Rock County"
53537,"Rock County"
53525,"Rock County"
53546,"Rock County"
53585,"Rock County"
53114,"Rock County"
53511,"Rock County"
53536,"Rock County"
53548,"Rock County"
53538,"Rock County"
53502,"Rock County"
53512,"Rock County"
54530,"Rusk County"
54817,"Rusk County"
54895,"Rusk County"
54563,"Rusk County"
54526,"Rusk County"
54731,"Rusk County"
54848,"Rusk County"
54766,"Rusk County"
54868,"Rusk County"
54745,"Rusk County"
54819,"Rusk County"
54728,"Rusk County"
54757,"Rusk County"
54835,"Rusk County"
54023,"St. Croix County"
54082,"St. Croix County"
54749,"St. Croix County"
54751,"St. Croix County"
54016,"St. Croix County"
54020,"St. Croix County"
54007,"St. Croix County"
54028,"St. Croix County"
54002,"St. Croix County"
54005,"St. Croix County"
54015,"St. Croix County"
54734,"St. Croix County"
54027,"St. Croix County"
54022,"St. Croix County"
54026,"St. Croix County"
54767,"St. Croix County"
54013,"St. Croix County"
54017,"St. Croix County"
54025,"St. Croix County"
53578,"Sauk County"
53951,"Sauk County"
53965,"Sauk County"
53940,"Sauk County"
53968,"Sauk County"
53561,"Sauk County"
53961,"Sauk County"
53943,"Sauk County"
53556,"Sauk County"
53958,"Sauk County"
53913,"Sauk County"
53944,"Sauk County"
53924,"Sauk County"
53959,"Sauk County"
53577,"Sauk County"
53588,"Sauk County"
53583,"Sauk County"
53942,"Sauk County"
53937,"Sauk County"
53941,"Sauk County"
54876,"Sawyer County"
54896,"Sawyer County"
54867,"Sawyer County"
54552,"Sawyer County"
54862,"Sawyer County"
54817,"Sawyer County"
54555,"Sawyer County"
54828,"Sawyer County"
54843,"Sawyer County"
54835,"Sawyer County"
54821,"Sawyer County"
54137,"Shawano County"
54499,"Shawano County"
54978,"Shawano County"
54128,"Shawano County"
54408,"Shawano County"
54124,"Shawano County"
54416,"Shawano County"
54929,"Shawano County"
54409,"Shawano County"
54450,"Shawano County"
54486,"Shawano County"
54106,"Shawano County"
54127,"Shawano County"
54111,"Shawano County"
54950,"Shawano County"
54166,"Shawano County"
54162,"Shawano County"
54414,"Shawano County"
54107,"Shawano County"
54948,"Shawano County"
54427,"Shawano County"
54170,"Shawano County"
54928,"Shawano County"
54165,"Shawano County"
54154,"Shawano County"
53081,"Sheboygan County"
53023,"Sheboygan County"
53013,"Sheboygan County"
53011,"Sheboygan County"
53085,"Sheboygan County"
53031,"Sheboygan County"
53075,"Sheboygan County"
53073,"Sheboygan County"
53015,"Sheboygan County"
53021,"Sheboygan County"
53044,"Sheboygan County"
53070,"Sheboygan County"
53020,"Sheboygan County"
53001,"Sheboygan County"
53040,"Sheboygan County"
53082,"Sheboygan County"
53042,"Sheboygan County"
53083,"Sheboygan County"
53026,"Sheboygan County"
53093,"Sheboygan County"
53079,"Sheboygan County"
54451,"Taylor County"
54470,"Taylor County"
54433,"Taylor County"
54460,"Taylor County"
54459,"Taylor County"
54766,"Taylor County"
54768,"Taylor County"
54498,"Taylor County"
54771,"Taylor County"
54422,"Taylor County"
54490,"Taylor County"
54411,"Taylor County"
54447,"Taylor County"
54425,"Taylor County"
54480,"Taylor County"
54627,"Trempealeau County"
54747,"Trempealeau County"
54738,"Trempealeau County"
54616,"Trempealeau County"
54760,"Trempealeau County"
54630,"Trempealeau County"
54758,"Trempealeau County"
54770,"Trempealeau County"
54642,"Trempealeau County"
54661,"Trempealeau County"
54773,"Trempealeau County"
54659,"Trempealeau County"
54612,"Trempealeau County"
54625,"Trempealeau County"
54623,"Vernon County"
54665,"Vernon County"
54667,"Vernon County"
54651,"Vernon County"
54652,"Vernon County"
54632,"Vernon County"
54628,"Vernon County"
54638,"Vernon County"
54658,"Vernon County"
54664,"Vernon County"
54624,"Vernon County"
54655,"Vernon County"
53968,"Vernon County"
54639,"Vernon County"
54621,"Vernon County"
54619,"Vernon County"
53929,"Vernon County"
54634,"Vernon County"
54519,"Vilas County"
54545,"Vilas County"
54554,"Vilas County"
54548,"Vilas County"
54568,"Vilas County"
54561,"Vilas County"
54558,"Vilas County"
54540,"Vilas County"
54538,"Vilas County"
54560,"Vilas County"
54557,"Vilas County"
54512,"Vilas County"
54521,"Vilas County"
53128,"Walworth County"
53119,"Walworth County"
53156,"Walworth County"
53147,"Walworth County"
53120,"Walworth County"
53191,"Walworth County"
53157,"Walworth County"
53525,"Walworth County"
53190,"Walworth County"
53125,"Walworth County"
53149,"Walworth County"
53115,"Walworth County"
53176,"Walworth County"
53195,"Walworth County"
53148,"Walworth County"
53585,"Walworth County"
53121,"Walworth County"
53184,"Walworth County"
53105,"Walworth County"
53114,"Walworth County"
54859,"Washburn County"
54843,"Washburn County"
54875,"Washburn County"
54801,"Washburn County"
54876,"Washburn County"
54888,"Washburn County"
54871,"Washburn County"
54813,"Washburn County"
54817,"Washburn County"
54870,"Washburn County"
54868,"Washburn County"
53086,"Washington County"
53090,"Washington County"
53027,"Washington County"
53076,"Washington County"
53091,"Washington County"
53029,"Washington County"
53075,"Washington County"
53033,"Washington County"
53040,"Washington County"
53021,"Washington County"
53066,"Washington County"
53037,"Washington County"
53022,"Washington County"
53095,"Washington County"
53017,"Washington County"
53010,"Washington County"
53002,"Washington County"
53012,"Washington County"
53060,"Washington County"
53029,"Waukesha County"
53018,"Waukesha County"
53151,"Waukesha County"
53183,"Waukesha County"
53228,"Waukesha County"
53056,"Waukesha County"
53058,"Waukesha County"
53069,"Waukesha County"
53052,"Waukesha County"
53127,"Waukesha County"
53064,"Waukesha County"
53017,"Waukesha County"
53153,"Waukesha County"
53186,"Waukesha County"
53122,"Waukesha County"
53007,"Waukesha County"
53225,"Waukesha County"
53045,"Waukesha County"
53118,"Waukesha County"
53103,"Waukesha County"
53150,"Waukesha County"
53146,"Waukesha County"
53149,"Waukesha County"
53132,"Waukesha County"
53072,"Waukesha County"
53066,"Waukesha County"
53005,"Waukesha County"
53189,"Waukesha County"
53188,"Waukesha County"
53187,"Waukesha County"
53227,"Waukesha County"
53036,"Waukesha County"
53089,"Waukesha County"
53051,"Waukesha County"
53046,"Waukesha County"
53119,"Waukesha County"
53022,"Waukesha County"
53008,"Waukesha County"
53185,"Waukesha County"
54962,"Waupaca County"
54946,"Waupaca County"
54961,"Waupaca County"
54929,"Waupaca County"
54949,"Waupaca County"
54969,"Waupaca County"
54990,"Waupaca County"
54977,"Waupaca County"
54499,"Waupaca County"
54950,"Waupaca County"
54983,"Waupaca County"
54922,"Waupaca County"
54486,"Waupaca County"
54742,"Waupaca County"
54940,"Waupaca County"
54945,"Waupaca County"
54981,"Waupaca County"
54926,"Waupaca County"
54965,"Waupaca County"
54933,"Waupaca County"
54960,"Waushara County"
54984,"Waushara County"
54983,"Waushara County"
54967,"Waushara County"
53964,"Waushara County"
54986,"Waushara County"
54970,"Waushara County"
