zip code,Total,Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,Assoc Ratio,Bachelor Ratio,Master Ratio,Prof Degree Ratio,Doctor Ratio
53526,397,54,70,10,0,2,0.136020151,0.176322418,0.025188917,0,0.005037783
53527,7207,1045,1949,809,114,124,0.144997919,0.270431525,0.112251977,0.015817955,0.017205495
53528,4230,536,1117,362,52,87,0.126713948,0.264066194,0.085579196,0.012293144,0.020567376
53529,1434,166,249,67,13,8,0.115760112,0.173640167,0.046722455,0.009065551,0.005578801
53530,2938,386,339,150,33,9,0.131381892,0.115384615,0.05105514,0.011232131,0.003063308
53531,3183,319,714,251,34,21,0.100219918,0.224316682,0.078856425,0.010681747,0.006597549
53532,9942,1471,2416,905,96,207,0.147958157,0.243009455,0.091027962,0.009656005,0.02082076
53533,5101,640,927,331,68,21,0.125465595,0.181729073,0.064889237,0.013330719,0.00411684
53534,8477,1015,1334,539,64,76,0.119735756,0.157366993,0.063583815,0.007549841,0.008965436
53536,5716,763,1089,312,41,38,0.133484955,0.190517845,0.054583625,0.007172848,0.006648006
53537,574,47,32,11,0,1,0.081881533,0.055749129,0.019163763,0,0.00174216
53538,13236,1711,2032,678,122,131,0.129268661,0.153520701,0.051223935,0.009217286,0.00989725
53540,182,20,8,3,0,0,0.10989011,0.043956044,0.016483516,0,0
53541,636,51,50,24,0,4,0.080188679,0.078616352,0.037735849,0,0.006289308
53543,1161,139,181,40,9,6,0.119724376,0.155900086,0.034453058,0.007751938,0.005167959
53544,534,60,87,28,8,6,0.112359551,0.162921348,0.052434457,0.014981273,0.011235955
53545,16227,1795,2560,998,289,93,0.110618106,0.157761755,0.061502434,0.017809823,0.005731189
53546,21375,2600,3430,1256,204,124,0.121637427,0.160467836,0.058760234,0.00954386,0.00580117
53548,12697,1160,1653,698,122,42,0.091360164,0.130188233,0.054973616,0.009608569,0.003307868
53549,7181,851,926,277,72,43,0.118507172,0.1289514,0.038574015,0.010026459,0.005988024
53550,798,88,58,27,2,0,0.110275689,0.072681704,0.033834586,0.002506266,0
53551,6131,607,1542,517,101,43,0.099005056,0.251508726,0.084325559,0.016473658,0.007013538
53553,334,30,30,6,0,0,0.089820359,0.089820359,0.017964072,0,0
53554,738,101,91,31,0,3,0.136856369,0.123306233,0.04200542,0,0.004065041
53555,5900,950,1324,465,88,58,0.161016949,0.22440678,0.078813559,0.014915254,0.009830508
53556,1796,167,149,70,12,0,0.09298441,0.082962138,0.038975501,0.006681514,0
53557,288,12,26,9,2,0,0.041666667,0.090277778,0.03125,0.006944444,0
53558,8184,1125,2555,1011,128,55,0.137463343,0.312194526,0.123533724,0.015640274,0.00672043
53559,4241,589,546,123,33,15,0.138882339,0.128743221,0.029002594,0.007781184,0.003536902
53560,2534,299,534,163,42,33,0.117995264,0.210734017,0.064325178,0.016574586,0.013022889
53561,1449,165,286,86,30,24,0.113871636,0.197377502,0.059351277,0.020703934,0.016563147
53562,17598,1541,5806,2705,956,1187,0.087566769,0.329923855,0.153710649,0.054324355,0.067450847
53563,7476,975,1520,504,52,79,0.130417335,0.203317282,0.06741573,0.006955591,0.010567148
53565,3308,410,500,269,33,53,0.123941959,0.15114873,0.081318017,0.009975816,0.016021765
53566,10554,966,1515,543,133,93,0.091529278,0.14354747,0.051449687,0.012601857,0.008811825
53569,877,124,117,35,4,1,0.141391106,0.13340935,0.03990878,0.004561003,0.001140251
53570,1874,220,254,100,12,12,0.117395945,0.135538954,0.053361793,0.006403415,0.006403415
53571,183,41,69,0,0,0,0.224043716,0.37704918,0,0,0
53572,7098,705,2383,706,79,71,0.099323753,0.335728374,0.099464638,0.011129896,0.010002818
53573,2131,251,220,82,11,5,0.117785077,0.103237916,0.038479587,0.005161896,0.002346316
53574,2724,366,656,231,37,34,0.134361233,0.24082232,0.084801762,0.013582966,0.012481645
53575,11257,1379,3122,1176,254,187,0.122501555,0.277338545,0.104468331,0.022563738,0.016611886
53576,1576,195,228,83,2,9,0.123730964,0.144670051,0.052664975,0.001269036,0.00571066
53577,981,115,111,47,2,2,0.117227319,0.113149847,0.047910296,0.002038736,0.002038736
53578,4402,441,824,413,82,69,0.100181736,0.187187642,0.09382099,0.018627896,0.015674693
53579,1216,153,87,31,4,6,0.125822368,0.071546053,0.025493421,0.003289474,0.004934211
53580,354,53,42,19,4,2,0.149717514,0.118644068,0.053672316,0.011299435,0.005649718
53581,7097,708,943,453,86,72,0.099760462,0.132873045,0.063829787,0.012117796,0.010145132
53582,789,96,116,30,11,2,0.121673004,0.147021546,0.038022814,0.013941698,0.002534854
53583,4236,537,780,201,47,59,0.126770538,0.184135977,0.047450425,0.011095373,0.013928234
53585,1474,100,116,28,19,8,0.067842605,0.078697422,0.018995929,0.012890095,0.005427408
53586,1580,159,203,57,6,0,0.100632911,0.128481013,0.036075949,0.003797468,0
53587,873,97,92,17,4,0,0.111111111,0.105383734,0.019473081,0.004581901,0
53588,3026,348,608,244,37,28,0.115003305,0.200925314,0.080634501,0.012227363,0.009253139
53589,14051,1425,3202,1233,183,151,0.101416269,0.227884136,0.087751761,0.013023984,0.010746566
53590,25531,3244,7476,2866,553,368,0.12706122,0.292820493,0.112255689,0.021659943,0.01441385
53593,14913,1382,5335,2462,900,556,0.092670824,0.357741568,0.16509086,0.06035003,0.037282908
53594,3800,439,588,175,57,15,0.115526316,0.154736842,0.046052632,0.015,0.003947368
53597,12280,1332,3920,1493,363,504,0.108469055,0.319218241,0.121579805,0.029560261,0.041042345
53598,1762,148,609,113,29,44,0.08399546,0.345629966,0.064131669,0.01645857,0.024971623
53599,31,0,0,0,0,0,0,0,0,0,0
53702,26,0,0,0,0,0,0,0,0,0,0
53703,14105,761,5487,2641,913,753,0.053952499,0.389010989,0.187238568,0.06472882,0.053385324
53704,32348,3629,8619,3721,879,668,0.112186225,0.266446148,0.115030296,0.027173241,0.020650427
53705,18444,962,5758,4023,1410,2919,0.052157883,0.312188245,0.218119714,0.076447625,0.15826285
53706,26,0,11,10,0,0,0,0.423076923,0.384615385,0,0
53711,33273,2517,10828,5658,1857,1874,0.075646921,0.325429027,0.170047786,0.055811018,0.056321943
53713,13801,1335,2701,982,205,176,0.096732121,0.195710456,0.071154264,0.014853996,0.012752699
53714,11970,1267,2685,910,197,78,0.105847953,0.224310777,0.076023392,0.016457811,0.006516291
53715,4238,311,1275,739,182,260,0.073383672,0.300849457,0.174374705,0.042944785,0.061349693
53716,13590,1653,3703,1536,380,212,0.121633554,0.272479765,0.113024283,0.027961737,0.015599706
53717,9322,458,3877,2022,637,410,0.049131088,0.415897876,0.216906243,0.068332976,0.043981978
